-13.779727717338332,0.02844867394109052,9618,-8,-59248,93.45454545454545,CORRECT
-12.597251575401236,-0.009047802524442261,2720,-52,-59384,96.09756097560975,CORRECT
-12.870538061546888,1.839183940928077,5545,10,-59893,78.06324110671937,CORRECT
-12.12429863182821,10.208468151845453,1848,35,-59300,41.666666666666664,CORRECT
-14.37473743357643,11.28971488656465,7305,27,-59213,15.70048309178744,CORRECT
-12.886884679482652,0.009344691205868116,4340,-12,-59844,82.01754385964912,CORRECT
-12.492756720091869,9.629475487803042,8245,28,-59818,29.896907216494846,CORRECT
-12.094376738326744,10.404607106231351,2164,38,-59637,13.736263736263735,CORRECT
-12.303841530438806,-0.0032791378875849375,9453,-12,-59425,98.13829787234043,CORRECT
-12.109324800397477,3.2702940755483496,7080,14,-59872,97.65625,CORRECT
-12.913806803546152,7.397303409274555,8776,20,-59224,50.7906976744186,CORRECT
-19.166075852827092,-0.007227200226758157,1484,-41,-59236,100.0,CORRECT
-12.75926813780233,0.0,8719,-17,-59097,97.43213499633163,CORRECT
-12.773099175180347,0.0,8440,-40,-59138,106.0,CORRECT
-12.172604389863448,0.0064563107318988955,6639,-60,-59108,96.76470588235294,CORRECT
-12.412712117528342,0.002212965524853061,2255,-42,-59664,90.37900874635568,CORRECT
-12.261325010544928,5.601760663458056,4576,18,-59229,62.3574144486692,CORRECT
-13.144271990604096,0.03004461535267744,7675,-12,-59663,86.2876254180602,CORRECT
-12.632364432605307,-0.0022702273098573755,3792,-50,-59597,109.02654867256638,CORRECT
-12.345469029240828,5.801536870576555,2928,18,-59394,150.0,CORRECT
-12.18014282285371,0.005385262518633027,3830,-21,-59231,104.11392405063292,CORRECT
-11.867990655850882,0.004156425315857248,7792,-39,-59007,102.97684674751929,CORRECT
-13.109429866353944,0.05021450527752869,6443,-7,-59276,103.61010830324909,CORRECT
-11.96309068028057,0.0,6582,-47,-59796,98.73417721518987,CORRECT
-12.804299770191058,7.883224724896527,5308,22,-59681,68.42105263157895,CORRECT
